Hello from received
15:10:39.295 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.300 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.304 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.304 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.308 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.312 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.312 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.316 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.316 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.320 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.324 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.324 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.328 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.332 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.332 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.337 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.337 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.341 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.345 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.345 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.349 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.353 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.353 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.357 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.357 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.361 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.365 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.365 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.369 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.373 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.373 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.377 > X1 :0	 X2 :0	 Y :0	 Z:0
